npi,fraud_score_xgb
1100000000,1.9884371340594953e-06
1100000001,2.4862163172656437e-06
1100000002,2.26212500820111e-06
1100000003,2.4862163172656437e-06
1100000004,7.842542686375964e-07
1100000005,2.2273450213106116e-06
1100000006,3.320962832731311e-06
1100000007,1.7090852679757518e-06
1100000008,7.842542686375964e-07
1100000009,2.26212500820111e-06
1100000010,1.2284295962672331e-06
1100000011,2.26212500820111e-06
1100000012,2.2273450213106116e-06
1100000013,7.842542686375964e-07
1100000014,3.320962832731311e-06
1100000015,2.4862163172656437e-06
1100000016,2.022099806708866e-06
1100000017,2.2273450213106116e-06
1100000018,7.842542686375964e-07
1100000019,3.320962832731311e-06
1100000020,1.7090852679757518e-06
1100000021,2.380541445745621e-06
1100000022,2.26212500820111e-06
1100000023,2.26212500820111e-06
1100000024,7.842542686375964e-07
1100000025,2.4862163172656437e-06
1100000026,2.4862163172656437e-06
1100000027,1.969586719496874e-06
1100000028,2.26212500820111e-06
1100000029,1.494082539466035e-06
1100000030,2.2161514152685413e-06
1100000031,2.2273450213106116e-06
1100000032,7.842542686375964e-07
1100000033,1.8571574855741346e-06
1100000034,1.3923248616265482e-06
1100000035,1.5730424820503686e-06
1100000036,7.842542686375964e-07
1100000037,2.4862163172656437e-06
1100000038,1.5107460740182432e-06
1100000039,3.320962832731311e-06
1100000040,3.320962832731311e-06
1100000041,8.550761663173034e-07
1100000042,2.26212500820111e-06
1100000043,1.215497832163237e-06
1100000044,2.4862163172656437e-06
1100000045,5.6300418691535015e-06
1100000046,2.2273450213106116e-06
1100000047,1.8470452687324723e-06
1100000048,2.2273450213106116e-06
1100000049,2.9351683679124108e-06
1100000050,2.4862163172656437e-06
1100000051,2.568280024206615e-06
1100000052,2.4862163172656437e-06
1100000053,7.842542686375964e-07
1100000054,7.864562689974264e-07
1100000055,2.4862163172656437e-06
1100000056,3.320962832731311e-06
1100000057,7.842542686375964e-07
1100000058,7.489218205591897e-07
1100000059,1.1160431313328445e-05
1100000060,2.2273450213106116e-06
1100000061,7.842542686375964e-07
1100000062,9.75576995188021e-07
1100000063,2.26212500820111e-06
1100000064,2.2273450213106116e-06
1100000065,2.26212500820111e-06
1100000066,2.9351683679124108e-06
1100000067,2.0448219402169343e-06
1100000068,7.965261943354562e-07
1100000069,2.26212500820111e-06
1100000070,7.842542686375964e-07
1100000071,3.320962832731311e-06
1100000072,2.26212500820111e-06
1100000073,8.877609758428662e-08
1100000074,2.26212500820111e-06
1100000075,7.842542686375964e-07
1100000076,7.842542686375964e-07
1100000077,2.4862163172656437e-06
1100000078,2.4862163172656437e-06
1100000079,1.332266720055486e-06
1100000080,1.7794382074498571e-06
1100000081,1.7794382074498571e-06
1100000082,7.842542686375964e-07
1100000083,4.275885601146001e-07
1100000084,5.242156021267874e-06
1100000085,7.842542686375964e-07
1100000086,8.580850590078626e-06
1100000087,2.2273450213106116e-06
1100000088,1.7794382074498571e-06
1100000089,8.550761663173034e-07
1100000090,2.26212500820111e-06
1100000091,2.26212500820111e-06
1100000092,8.550761663173034e-07
1100000093,2.491799250492477e-06
1100000094,1.8987196881425916e-06
1100000095,7.842542686375964e-07
1100000096,9.347488116873137e-07
1100000097,3.320962832731311e-06
1100000098,2.26212500820111e-06
1100000099,7.842542686375964e-07
1100000100,2.26212500820111e-06
1100000101,2.0995571503590327e-06
1100000102,7.842542686375964e-07
1100000103,7.842542686375964e-07
1100000104,1.0747057785920333e-06
1100000105,2.2273450213106116e-06
1100000106,2.26212500820111e-06
1100000107,7.842542686375964e-07
1100000108,1.3961636113890563e-06
1100000109,2.26212500820111e-06
1100000110,7.842542686375964e-07
1100000111,2.26212500820111e-06
1100000112,3.320962832731311e-06
1100000113,1.650905119277013e-06
1100000114,1.3048008895566454e-07
1100000115,2.0448219402169343e-06
1100000116,9.135710570262745e-07
1100000117,7.842542686375964e-07
1100000118,1.6834407290389208e-07
1100000119,3.4163576856371947e-06
1100000120,2.2273450213106116e-06
1100000121,7.603638323416817e-07
1100000122,2.4862163172656437e-06
1100000123,3.320962832731311e-06
1100000124,2.4862163172656437e-06
1100000125,2.2273450213106116e-06
1100000126,2.2273450213106116e-06
1100000127,7.543676616705852e-08
1100000128,1.5730424820503686e-06
1100000129,2.4862163172656437e-06
1100000130,7.842542686375964e-07
1100000131,2.26212500820111e-06
1100000132,3.320962832731311e-06
1100000133,2.3476006845157826e-06
1100000134,2.4002467853279086e-06
1100000135,3.320962832731311e-06
1100000136,7.842542686375964e-07
1100000137,3.4163576856371947e-06
1100000138,7.842542686375964e-07
1100000139,2.26212500820111e-06
1100000140,7.842542686375964e-07
1100000141,2.2273450213106116e-06
1100000142,7.842542686375964e-07
1100000143,1.07877212940366e-06
1100000144,2.4862163172656437e-06
1100000145,2.0457894152059453e-06
1100000146,8.550761663173034e-07
1100000147,4.765071025758516e-06
1100000148,3.2611960705253296e-06
1100000149,2.2273450213106116e-06
1100000150,3.103275957982987e-06
1100000151,2.2273450213106116e-06
1100000152,1.5730424820503686e-06
1100000153,7.842542686375964e-07
1100000154,2.26212500820111e-06
1100000155,7.842542686375964e-07
1100000156,1.1940959154799202e-07
1100000157,2.211472747148946e-06
1100000158,3.320962832731311e-06
1100000159,2.827112666636822e-06
1100000160,7.842542686375964e-07
1100000161,2.0448219402169343e-06
1100000162,8.808261213744117e-07
1100000163,2.1036680664110463e-06
1100000164,1.704605665509007e-06
1100000165,3.320962832731311e-06
1100000166,7.842542686375964e-07
1100000167,7.842542686375964e-07
1100000168,2.4862163172656437e-06
1100000169,1.4637473668699386e-06
1100000170,8.352063218808325e-08
1100000171,1.5730424820503686e-06
1100000172,1.5730424820503686e-06
1100000173,3.320962832731311e-06
1100000174,1.892131081149273e-06
1100000175,2.2273450213106116e-06
1100000176,7.842542686375964e-07
1100000177,2.4862163172656437e-06
1100000178,3.320962832731311e-06
1100000179,2.2273450213106116e-06
1100000180,2.26212500820111e-06
1100000181,9.75976581685245e-06
1100000182,3.507307383188163e-06
1100000183,2.26212500820111e-06
1100000184,2.4862163172656437e-06
1100000185,1.135520392381295e-06
1100000186,2.568280024206615e-06
1100000187,2.4862163172656437e-06
1100000188,2.26212500820111e-06
1100000189,9.229322586179478e-07
1100000190,3.320962832731311e-06
1100000191,2.26212500820111e-06
1100000192,1.1160431313328445e-05
1100000193,2.26212500820111e-06
1100000194,1.5730424820503686e-06
1100000195,7.842542686375964e-07
1100000196,3.320962832731311e-06
1100000197,7.842542686375964e-07
1100000198,7.413325988636643e-07
1100000199,2.9351683679124108e-06
1100000200,7.842542686375964e-07
1100000201,7.842542686375964e-07
1100000202,2.4862163172656437e-06
1100000203,2.2273450213106116e-06
1100000204,1.1488601359133099e-07
1100000205,2.4862163172656437e-06
1100000206,3.320962832731311e-06
1100000207,9.844897022048826e-07
1100000208,2.4862163172656437e-06
1100000209,1.0882738024520222e-05
1100000210,3.507307383188163e-06
1100000211,2.377020791755058e-06
1100000212,8.17743739389698e-07
1100000213,2.2273450213106116e-06
1100000214,1.1160431313328445e-05
1100000215,3.320962832731311e-06
1100000216,2.4862163172656437e-06
1100000217,2.26212500820111e-06
1100000218,1.5301584710414318e-07
1100000219,7.561819188595109e-07
1100000220,3.571158686099807e-06
1100000221,2.26212500820111e-06
1100000222,2.26212500820111e-06
1100000223,7.842542686375964e-07
1100000224,1.4994611774454825e-06
1100000225,2.26212500820111e-06
1100000226,2.26212500820111e-06
1100000227,1.8470452687324723e-06
1100000228,7.842542686375964e-07
1100000229,5.323082859831629e-06
1100000230,2.26212500820111e-06
1100000231,2.360930466238642e-06
1100000232,9.135710570262745e-07
1100000233,3.0194812552508665e-06
1100000234,3.4203901577711804e-06
1100000235,7.842542686375964e-07
1100000236,2.9351683679124108e-06
1100000237,2.2273450213106116e-06
1100000238,1.4168642792355968e-06
1100000239,2.26212500820111e-06
1100000240,3.320962832731311e-06
1100000241,7.842542686375964e-07
1100000242,7.842542686375964e-07
1100000243,2.2273450213106116e-06
1100000244,5.29617182110087e-07
1100000245,2.2273450213106116e-06
1100000246,2.4862163172656437e-06
1100000247,3.2156092402146896e-06
1100000248,3.320962832731311e-06
1100000249,2.4862163172656437e-06
1100000250,2.4862163172656437e-06
1100000251,2.26212500820111e-06
1100000252,2.26212500820111e-06
1100000253,2.26212500820111e-06
1100000254,7.842542686375964e-07
1100000255,2.568280024206615e-06
1100000256,2.4862163172656437e-06
1100000257,2.4862163172656437e-06
1100000258,2.26212500820111e-06
1100000259,7.842542686375964e-07
1100000260,2.26212500820111e-06
1100000261,8.479995585730649e-07
1100000262,2.26212500820111e-06
1100000263,1.3063303185845143e-06
1100000264,2.26212500820111e-06
1100000265,5.242156021267874e-06
1100000266,7.842542686375964e-07
1100000267,9.166778909275308e-07
1100000268,9.229322586179478e-07
1100000269,7.842542686375964e-07
1100000270,7.965261943354562e-07
1100000271,1.8470452687324723e-06
1100000272,7.842542686375964e-07
1100000273,2.4862163172656437e-06
1100000274,2.4862163172656437e-06
1100000275,7.842542686375964e-07
1100000276,8.785592626736616e-07
1100000277,2.4862163172656437e-06
1100000278,2.568280024206615e-06
1100000279,7.842542686375964e-07
1100000280,1.6894042573767365e-06
1100000281,2.26212500820111e-06
1100000282,2.26212500820111e-06
1100000283,1.7721965832606656e-06
1100000284,9.75976581685245e-06
1100000285,2.2273450213106116e-06
1100000286,2.4862163172656437e-06
1100000287,0.002382909180596471
1100000288,3.320962832731311e-06
1100000289,2.26212500820111e-06
1100000290,2.26212500820111e-06
1100000291,2.26212500820111e-06
1100000292,1.7090852679757518e-06
1100000293,1.902326744129823e-06
1100000294,7.842542686375964e-07
1100000295,1.892131081149273e-06
1100000296,2.26212500820111e-06
1100000297,2.9351683679124108e-06
1100000298,7.842542686375964e-07
1100000299,1.2284295962672331e-06
1100000300,8.239853173108713e-07
1100000301,9.163152299151989e-07
1100000302,7.603638323416817e-07
1100000303,2.26212500820111e-06
1100000304,7.842542686375964e-07
1100000305,3.320962832731311e-06
1100000306,1.8886461248257547e-06
1100000307,2.2273450213106116e-06
1100000308,1.0395268645879696e-06
1100000309,2.2273450213106116e-06
1100000310,7.842542686375964e-07
1100000311,7.842542686375964e-07
1100000312,7.842542686375964e-07
1100000313,3.2156092402146896e-06
1100000314,0.0017551941564306617
1100000315,1.43392674090137e-06
1100000316,3.522455017446191e-06
1100000317,2.2273450213106116e-06
1100000318,2.360930466238642e-06
1100000319,7.842542686375964e-07
1100000320,2.0448219402169343e-06
1100000321,7.842542686375964e-07
1100000322,7.49484854623006e-07
1100000323,2.2273450213106116e-06
1100000324,7.842542686375964e-07
1100000325,2.26212500820111e-06
1100000326,5.029188741900725e-06
1100000327,9.917363968270365e-06
1100000328,1.0571297934802715e-05
1100000329,2.4862163172656437e-06
1100000330,7.842542686375964e-07
